from,to,movers
Wisconsin,Connecticut,42
Wyoming,Connecticut,0
Puerto Rico,Connecticut,486
Alabama,Delaware,12
Alaska,Delaware,59
Arizona,Delaware,476
Arkansas,Delaware,372
California,Delaware,516
Colorado,Delaware,212
Connecticut,Delaware,369
Delaware,Delaware,
District of Columbia ,Delaware,430
Florida,Delaware,1763
Georgia,Delaware,249
Hawaii,Delaware,0
Idaho,Delaware,33
Illinois,Delaware,193
Indiana,Delaware,0
Iowa,Delaware,212
Kansas,Delaware,0
Kentucky,Delaware,0
Louisiana,Delaware,0
Maine,Delaware,174
Maryland,Delaware,7829
Massachusetts,Delaware,465
Michigan,Delaware,82
Minnesota,Delaware,180
Mississippi,Delaware,70
Missouri,Delaware,105
Montana,Delaware,235
Nebraska,Delaware,0
Nevada,Delaware,118
New Hampshire,Delaware,0
New Jersey,Delaware,4041
New Mexico,Delaware,214
New York,Delaware,2552
North Carolina,Delaware,1563
North Dakota,Delaware,0
Ohio,Delaware,0
Oklahoma,Delaware,0
Oregon,Delaware,0
Pennsylvania,Delaware,13350
Rhode Island,Delaware,187
South Carolina,Delaware,385
South Dakota,Delaware,0
Tennessee,Delaware,629
Texas,Delaware,400
Utah,Delaware,33
Vermont,Delaware,0
Virginia,Delaware,882
Washington,Delaware,274
West Virginia,Delaware,0
Wisconsin,Delaware,342
Wyoming,Delaware,0
Puerto Rico,Delaware,0
Alabama,District of Columbia,423
Alaska,District of Columbia,0
Arizona,District of Columbia,242
Arkansas,District of Columbia,0
California,District of Columbia,2976
Colorado,District of Columbia,376
Connecticut,District of Columbia,760
Delaware,District of Columbia,111
District of Columbia ,District of Columbia,
Florida,District of Columbia,1856
Georgia,District of Columbia,1537
Hawaii,District of Columbia,53
Idaho,District of Columbia,0
Illinois,District of Columbia,770
Indiana,District of Columbia,1010
Iowa,District of Columbia,0
Kansas,District of Columbia,0
Kentucky,District of Columbia,168
Louisiana,District of Columbia,1130
Maine,District of Columbia,1190
Maryland,District of Columbia,12647
Massachusetts,District of Columbia,2685
Michigan,District of Columbia,1490
Minnesota,District of Columbia,394
Mississippi,District of Columbia,130
Missouri,District of Columbia,365
Montana,District of Columbia,22
Nebraska,District of Columbia,58
Nevada,District of Columbia,56
New Hampshire,District of Columbia,14
New Jersey,District of Columbia,2071
New Mexico,District of Columbia,48
New York,District of Columbia,4766
North Carolina,District of Columbia,1423
North Dakota,District of Columbia,126
Ohio,District of Columbia,1248
Oklahoma,District of Columbia,476
Oregon,District of Columbia,794
Pennsylvania,District of Columbia,3085
Rhode Island,District of Columbia,369
South Carolina,District of Columbia,514
South Dakota,District of Columbia,0
Tennessee,District of Columbia,622
Texas,District of Columbia,2631
Utah,District of Columbia,207
Vermont,District of Columbia,86
Virginia,District of Columbia,7085
Washington,District of Columbia,443
West Virginia,District of Columbia,100
Wisconsin,District of Columbia,303
Wyoming,District of Columbia,0
Puerto Rico,District of Columbia,226
Alabama,Florida,13789
Alaska,Florida,2280
Arizona,Florida,8361
Arkansas,Florida,4025
California,Florida,39052
Colorado,Florida,13264
Connecticut,Florida,15743
Delaware,Florida,1739
District of Columbia ,Florida,1691
Florida,Florida,
Georgia,Florida,44469
Hawaii,Florida,3294
Idaho,Florida,913
Illinois,Florida,27109
Indiana,Florida,14939
Iowa,Florida,4367
Kansas,Florida,5297
Kentucky,Florida,9814
Louisiana,Florida,6194
Maine,Florida,3831
Maryland,Florida,17439
Massachusetts,Florida,24002
Michigan,Florida,26512
Minnesota,Florida,8274
Mississippi,Florida,4750
Missouri,Florida,7814
Montana,Florida,1030
Nebraska,Florida,1317
Nevada,Florida,5632
